;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.47615277777777776;0.36666666666666664;0.24303539597657248;0.24166666666666667;0.23640652997846312;"[[ 2  2 12  4]
 [ 4  2 12  2]
 [ 8  7 37  8]
 [ 1  0 16  3]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.840388888888889;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5655833333333333;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.530625;0.375;0.18482905982905984;0.2125;0.18756422699246406;"[[ 1  2 15  2]
 [ 2  2 16  0]
 [ 6  6 42  6]
 [ 0  2 18  0]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.8788463541666667;0.5708333333333333;0.8182862888745241;0.35624999999999996;0.35608213228454155;"[[  6   1  72   1]
 [  0  11  69   0]
 [  0   0 240   0]
 [  0   2  61  17]]";0.5319166666666666;0.49166666666666664;0.18969298245614036;0.25416666666666665;0.18750000000000003;"[[ 0  1 19  0]
 [ 0  0 19  1]
 [ 0  0 58  2]
 [ 0  1 18  1]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.614806423611111;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5959722222222221;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5830972222222222;0.45;0.3181818181818182;0.29166666666666663;0.28561373873873874;"[[ 3  1 14  2]
 [ 4  2 14  0]
 [ 2  5 46  7]
 [ 1  2 14  3]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.8855711805555555;0.60625;0.8258844339622641;0.40937500000000004;0.4388478915662651;"[[ 18   0  61   1]
 [  1  15  63   1]
 [  0   0 240   0]
 [  1   1  60  18]]";0.5232777777777778;0.4583333333333333;0.12168141592920353;0.22916666666666666;0.15895953757225434;"[[ 0  0 19  1]
 [ 0  0 19  1]
 [ 1  2 55  2]
 [ 0  0 20  0]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.7205642361111111;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5831249999999999;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5888055555555555;0.4666666666666667;0.35594315245478036;0.3166666666666667;0.31582652900555597;"[[ 4  0 13  3]
 [ 3  2 14  1]
 [ 2  5 46  7]
 [ 1  2 13  4]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;1.0;0.9979166666666667;0.9989626556016598;0.996875;0.9979079224362244;"[[ 79   0   1   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.49893055555555554;0.39166666666666666;0.20230734767025088;0.22083333333333333;0.19555603850735695;"[[ 1  2 16  1]
 [ 2  1 15  2]
 [ 7  4 44  5]
 [ 0  1 18  1]]"
