;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5068472222222222;0.425;0.2630856760374833;0.2708333333333333;0.25647773279352226;"[[ 4  1 13  2]
 [ 4  0 16  0]
 [ 6  5 44  5]
 [ 4  3 10  3]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.8332196180555556;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5020277777777777;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5142222222222222;0.4;0.22900088417329795;0.23333333333333334;0.21615066481137915;"[[ 1  2 15  2]
 [ 2  2 13  3]
 [ 5  4 44  7]
 [ 4  0 15  1]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.8761032986111112;0.5895833333333333;0.7727510389528436;0.3927083333333333;0.4083375844085453;"[[ 20   0  60   0]
 [  1   6  70   3]
 [  2   0 236   2]
 [  0   1  58  21]]";0.48470833333333335;0.5;0.33442028985507244;0.26666666666666666;0.21018068887634106;"[[ 1  0 18  1]
 [ 0  0 20  0]
 [ 2  0 58  0]
 [ 0  0 19  1]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.6470503472222223;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5026111111111111;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5377638888888889;0.425;0.21626984126984125;0.23750000000000002;0.20684743098536204;"[[ 0  1 17  2]
 [ 1  1 17  1]
 [ 5  3 48  4]
 [ 2  2 14  2]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.8830824652777778;0.6104166666666667;0.8140498455372798;0.42604166666666665;0.45678210137586067;"[[ 22   0  57   1]
 [  1  10  69   0]
 [  4   0 235   1]
 [  2   0  52  26]]";0.5029722222222223;0.48333333333333334;0.37844036697247707;0.25833333333333336;0.2111350188273265;"[[ 1  0 17  2]
 [ 0  1 17  2]
 [ 0  1 56  3]
 [ 1  0 19  0]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.7310598958333333;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.49620833333333336;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5272222222222223;0.4083333333333333;0.22676493192797542;0.2375;0.21538290247309042;"[[ 1  1 17  1]
 [ 1  1 16  2]
 [ 5  4 45  6]
 [ 2  2 14  2]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;0.9999913194444444;0.9958333333333333;0.9979338842975207;0.99375;0.9958180015136094;"[[ 79   0   1   0]
 [  0  79   1   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5184027777777778;0.4083333333333333;0.1768245341614907;0.22083333333333335;0.18716828836797875;"[[ 1  1 17  1]
 [ 4  0 15  1]
 [ 5  3 47  5]
 [ 4  2 13  1]]"
10;{'n_estimators': 172, 'max_depth': 9, 'min_samples_leaf': 152, 'criterion': 'gini'};RandomForest;0.6265885416666666;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5047083333333333;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
11;{'n_estimators': 122, 'max_depth': 11, 'min_child_weight': 15, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5437222222222222;0.48333333333333334;0.3669751640112465;0.2916666666666667;0.2752441124384827;"[[ 2  1 15  2]
 [ 2  2 15  1]
 [ 4  1 52  3]
 [ 3  0 15  2]]"
12;{'n_estimators': 52, 'max_depth': 4, 'min_data_in_leaf': 54, 'learning_rate': 0.604326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5419861111111111;0.39166666666666666;0.19689132706374088;0.22083333333333333;0.19858459512837395;"[[ 1  2 15  2]
 [ 1  2 13  4]
 [ 6  4 44  6]
 [ 2  3 15  0]]"
13;{'n_estimators': 83, 'max_depth': 9, 'min_samples_leaf': 5, 'criterion': 'entropy'};RandomForest;0.9999800347222223;0.90625;0.9605263157894737;0.859375;0.9004390408645727;"[[ 70   0  10   0]
 [  0  61  19   0]
 [  0   0 240   0]
 [  0   0  16  64]]";0.5106805555555556;0.5083333333333333;0.3760504201680672;0.2625;0.1914072891726523;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 19  1]]"
14;{'n_estimators': 72, 'max_depth': 4, 'min_child_weight': 59, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.522263888888889;0.425;0.14754901960784314;0.22083333333333335;0.17098765432098764;"[[ 1  2 17  0]
 [ 1  0 18  1]
 [ 5  1 50  4]
 [ 3  0 17  0]]"
15;{'n_estimators': 200, 'max_depth': 10, 'min_data_in_leaf': 98, 'learning_rate': 0.522795918367347};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5178611111111111;0.38333333333333336;0.2320152757459259;0.24166666666666667;0.2326082767259238;"[[ 3  3 12  2]
 [ 3  1 13  3]
 [ 6  8 40  6]
 [ 5  2 11  2]]"
16;{'n_estimators': 176, 'max_depth': 19, 'min_samples_leaf': 30, 'criterion': 'gini'};RandomForest;0.8600121527777778;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.4998472222222222;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
17;{'n_estimators': 137, 'max_depth': 8, 'min_child_weight': 127, 'learning_rate': 0.359734693877551};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5735138888888889;0.43333333333333335;0.27874209124209126;0.25833333333333336;0.2419737420505152;"[[ 1  1 16  2]
 [ 2  2 15  1]
 [ 5  2 47  6]
 [ 4  1 13  2]]"
18;{'n_estimators': 141, 'max_depth': 8, 'min_data_in_leaf': 15, 'learning_rate': 0.4901836734693878};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5494583333333334;0.425;0.2779069767441861;0.2708333333333333;0.26020874103065883;"[[ 3  2 14  1]
 [ 2  4 12  2]
 [ 7  3 44  6]
 [ 3  1 16  0]]"
19;{'n_estimators': 165, 'max_depth': 15, 'min_samples_leaf': 98, 'criterion': 'entropy'};RandomForest;0.6533402777777778;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.4993194444444444;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
20;{'n_estimators': 25, 'max_depth': 12, 'min_child_weight': 54, 'learning_rate': 0.4086530612244898};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5526527777777778;0.4166666666666667;0.18807814992025518;0.23333333333333334;0.19899193548387095;"[[ 1  1 16  2]
 [ 2  0 17  1]
 [ 5  1 47  7]
 [ 3  0 15  2]]"
21;{'n_estimators': 99, 'max_depth': 9, 'min_data_in_leaf': 108, 'learning_rate': 0.5064897959183674};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5334861111111111;0.375;0.1711847389558233;0.2041666666666667;0.18159965034965037;"[[ 1  3 14  2]
 [ 4  0 14  2]
 [ 3  7 43  7]
 [ 4  3 12  1]]"
22;{'n_estimators': 95, 'max_depth': 3, 'min_samples_leaf': 93, 'criterion': 'gini'};RandomForest;0.6901189236111112;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5140416666666666;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
23;{'n_estimators': 72, 'max_depth': 8, 'min_child_weight': 25, 'learning_rate': 0.2455918367346939};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5600833333333333;0.4166666666666667;0.19772727272727272;0.225;0.18997518610421837;"[[ 1  1 16  2]
 [ 2  1 16  1]
 [ 5  2 48  5]
 [ 3  1 16  0]]"
