;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.4827916666666667;0.38333333333333336;0.2372549019607843;0.23333333333333334;0.22167487684729065;"[[ 2  2 16  0]
 [ 4  0 14  2]
 [ 7  8 41  4]
 [ 2  1 14  3]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.8362013888888888;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.5316527777777778;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5505555555555556;0.39166666666666666;0.1741317671092952;0.21250000000000002;0.18380241033412714;"[[ 0  3 15  2]
 [ 3  1 14  2]
 [ 6  3 45  6]
 [ 1  3 15  1]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.8564244791666665;0.5416666666666666;0.8450046685340803;0.3125;0.28649484474795694;"[[  6   1  73   0]
 [  0   6  74   0]
 [  0   0 240   0]
 [  0   0  72   8]]";0.49740277777777775;0.5083333333333333;0.5010683760683761;0.2708333333333333;0.21320346320346317;"[[ 0  0 20  0]
 [ 0  1 19  0]
 [ 0  0 59  1]
 [ 0  0 19  1]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.6179756944444444;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.4886388888888889;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5732222222222223;0.44166666666666665;0.2542929292929293;0.2625;0.24229514275120503;"[[ 3  3 12  2]
 [ 3  1 15  1]
 [ 2  5 48  5]
 [ 3  1 15  1]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.85384375;0.5708333333333333;0.8621041879468846;0.35625;0.36045957025471975;"[[ 10   0  70   0]
 [  0  13  67   0]
 [  0   0 240   0]
 [  1   0  68  11]]";0.501625;0.5166666666666667;0.3794642857142857;0.2916666666666667;0.25193798449612403;"[[ 0  0 20  0]
 [ 0  2 18  0]
 [ 0  0 58  2]
 [ 0  2 16  2]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.7264461805555555;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.51675;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.5797916666666666;0.425;0.23463203463203464;0.2541666666666667;0.23537506400409625;"[[ 3  3 12  2]
 [ 6  1 12  1]
 [ 2  6 46  6]
 [ 4  1 14  1]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;0.9999366319444445;0.9895833333333334;0.9948979591836735;0.984375;0.9895009562606265;"[[ 77   0   3   0]
 [  0  79   1   0]
 [  0   0 240   0]
 [  0   0   1  79]]";0.5052222222222222;0.4583333333333333;0.34375901875901876;0.29583333333333334;0.29085125448028676;"[[ 1  1 16  2]
 [ 3  3 13  1]
 [ 5  3 47  5]
 [ 2  0 14  4]]"
