;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te;auc_dif
4;{'n_estimators': 184, 'max_depth': 2, 'min_samples_leaf': 385, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
7;{'n_estimators': 110, 'max_depth': 18, 'min_samples_leaf': 318, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
10;{'n_estimators': 172, 'max_depth': 9, 'min_samples_leaf': 404, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
22;{'n_estimators': 157, 'max_depth': 9, 'min_samples_leaf': 366, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
28;{'n_estimators': 44, 'max_depth': 13, 'min_samples_leaf': 423, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
31;{'n_estimators': 180, 'max_depth': 15, 'min_samples_leaf': 404, 'criterion': 'entropy'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
34;{'n_estimators': 79, 'max_depth': 14, 'min_samples_leaf': 472, 'criterion': 'entropy'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
37;{'n_estimators': 10, 'max_depth': 4, 'min_samples_leaf': 404, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
61;{'n_estimators': 33, 'max_depth': 3, 'min_samples_leaf': 433, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
67;{'n_estimators': 192, 'max_depth': 7, 'min_samples_leaf': 337, 'criterion': 'gini'};RandomForest;50,00%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";50,00%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";0,00%
