;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8198472222222222;0.6166666666666667;0.5746680426556587;0.5166666666666666;0.5282566386014662;"[[14  1  4  1]
 [ 3  6 10  1]
 [ 2  7 49  2]
 [ 0  3 12  5]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.9233315972222222;0.6083333333333333;0.5904236694677871;0.4229166666666666;0.37685561577838;"[[ 55   0  25   0]
 [  8   0  72   0]
 [  5   0 235   0]
 [  2   0  76   2]]";0.8238888888888889;0.6;0.34665905197030267;0.41666666666666663;0.367103299618637;"[[14  0  6  0]
 [ 1  0 19  0]
 [ 2  0 58  0]
 [ 0  0 20  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7994166666666667;0.5916666666666667;0.5507874478462713;0.49583333333333335;0.5122371874196692;"[[14  1  4  1]
 [ 0  5 13  2]
 [ 3  5 47  5]
 [ 0  2 13  5]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.9770086805555556;0.8604166666666667;0.8770338280075458;0.8072916666666666;0.8340056186848549;"[[ 73   2   2   3]
 [  3  56  20   1]
 [  3   3 232   2]
 [  1   4  23  52]]";0.7907916666666668;0.5666666666666667;0.49873755334281644;0.47500000000000003;0.4799869129626593;"[[14  1  4  1]
 [ 0  3 15  2]
 [ 4  5 45  6]
 [ 1  3 10  6]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.8053515625000001;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.8052777777777778;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8227500000000001;0.65;0.6145833333333333;0.5666666666666667;0.581987639553429;"[[13  1  5  1]
 [ 2 10  7  1]
 [ 2  5 49  4]
 [ 1  2 11  6]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.9876145833333334;0.9041666666666667;0.9153101921854798;0.8666666666666666;0.8865418678619998;"[[ 76   0   1   3]
 [  2  66  11   1]
 [  2   1 235   2]
 [  2   3  18  57]]";0.8105138888888889;0.625;0.5750978473581213;0.5375;0.5453632512054886;"[[15  1  3  1]
 [ 2  6 12  0]
 [ 3  4 48  5]
 [ 1  3 10  6]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.8799331597222222;0.5979166666666667;0.3362816667268982;0.40729166666666666;0.3568094925565939;"[[ 52   0  28   0]
 [  8   0  72   0]
 [  5   0 235   0]
 [  2   0  78   0]]";0.813875;0.5916666666666667;0.3425480769230769;0.4041666666666667;0.3573848238482385;"[[13  0  7  0]
 [ 1  0 19  0]
 [ 2  0 58  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8133194444444445;0.6583333333333333;0.632296111901375;0.5708333333333334;0.5897150579519983;"[[14  0  5  1]
 [ 2  8  9  1]
 [ 2  5 50  3]
 [ 1  2 10  7]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8090833333333334;0.6166666666666667;0.5951811346548188;0.525;0.5442757748260595;"[[13  1  5  1]
 [ 1  6 13  0]
 [ 4  5 48  3]
 [ 1  2 10  7]]"
10;{'n_estimators': 172, 'max_depth': 9, 'min_samples_leaf': 152, 'criterion': 'gini'};RandomForest;0.801081597222222;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.7797222222222222;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
11;{'n_estimators': 122, 'max_depth': 11, 'min_child_weight': 15, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8092083333333333;0.6333333333333333;0.6123376623376624;0.5333333333333333;0.5556647092183012;"[[12  1  5  2]
 [ 1  9 10  0]
 [ 2  5 50  3]
 [ 0  3 12  5]]"
12;{'n_estimators': 52, 'max_depth': 4, 'min_data_in_leaf': 54, 'learning_rate': 0.604326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8206388888888888;0.65;0.6310023886006094;0.5750000000000001;0.5929564442521453;"[[14  1  4  1]
 [ 2  8 10  0]
 [ 3  6 48  3]
 [ 0  3  9  8]]"
13;{'n_estimators': 83, 'max_depth': 9, 'min_samples_leaf': 5, 'criterion': 'entropy'};RandomForest;0.999592013888889;0.9625;0.9777035892190001;0.94375;0.9595275583382764;"[[ 76   0   3   1]
 [  1  74   5   0]
 [  0   0 240   0]
 [  0   0   8  72]]";0.8127083333333334;0.6416666666666667;0.5589638157894736;0.4875;0.46782051282051285;"[[16  0  4  0]
 [ 1  0 19  0]
 [ 2  0 57  1]
 [ 0  0 16  4]]"
14;{'n_estimators': 72, 'max_depth': 4, 'min_child_weight': 59, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8149305555555557;0.6;0.5443961675579322;0.4833333333333334;0.4973922655374268;"[[13  0  5  2]
 [ 1  4 13  2]
 [ 3  5 50  2]
 [ 0  3 12  5]]"
15;{'n_estimators': 200, 'max_depth': 10, 'min_data_in_leaf': 98, 'learning_rate': 0.522795918367347};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.82075;0.6083333333333333;0.5724538619275461;0.5125;0.528146742567995;"[[13  1  4  2]
 [ 1  6 13  0]
 [ 4  5 48  3]
 [ 1  2 11  6]]"
16;{'n_estimators': 176, 'max_depth': 19, 'min_samples_leaf': 30, 'criterion': 'gini'};RandomForest;0.9336232638888888;0.6166666666666667;0.5926038906707571;0.4354166666666667;0.3972956444311096;"[[ 56   0  24   0]
 [  8   0  72   0]
 [  5   0 235   0]
 [  2   0  73   5]]";0.8385277777777778;0.6;0.34665905197030267;0.41666666666666663;0.367103299618637;"[[14  0  6  0]
 [ 1  0 19  0]
 [ 2  0 58  0]
 [ 0  0 20  0]]"
17;{'n_estimators': 137, 'max_depth': 8, 'min_child_weight': 127, 'learning_rate': 0.359734693877551};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8136249999999999;0.6333333333333333;0.6164462081128748;0.5166666666666666;0.5442010846891948;"[[12  1  5  2]
 [ 1  7 12  0]
 [ 1  4 52  3]
 [ 0  3 12  5]]"
18;{'n_estimators': 141, 'max_depth': 8, 'min_data_in_leaf': 15, 'learning_rate': 0.4901836734693878};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8079027777777779;0.625;0.5738751956181534;0.5375;0.5507499665193518;"[[14  1  3  2]
 [ 2  6 11  1]
 [ 1  6 48  5]
 [ 1  3  9  7]]"
19;{'n_estimators': 165, 'max_depth': 15, 'min_samples_leaf': 98, 'criterion': 'entropy'};RandomForest;0.8264557291666668;0.56875;0.3707979989018364;0.3572916666666667;0.323803981929897;"[[ 35   0  45   0]
 [  0   0  80   0]
 [  2   0 238   0]
 [  0   0  80   0]]";0.7705277777777778;0.5916666666666667;0.3876146788990826;0.3875;0.354934147738118;"[[11  0  9  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
20;{'n_estimators': 25, 'max_depth': 12, 'min_child_weight': 54, 'learning_rate': 0.4086530612244898};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8064861111111111;0.5916666666666667;0.5573303167420814;0.5041666666666667;0.5218036218036218;"[[13  0  6  1]
 [ 1  5 13  1]
 [ 3  5 46  6]
 [ 0  3 10  7]]"
