;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8036388888888889;0.625;0.5631868131868131;0.5375;0.5418242685100647;"[[16  0  4  0]
 [ 1  7  7  5]
 [ 3  4 48  5]
 [ 1  2 13  4]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.9299479166666667;0.6208333333333333;0.35886636207881206;0.43125;0.3799950257005471;"[[ 58   0  22   0]
 [  7   0  73   0]
 [  0   0 240   0]
 [  3   0  77   0]]";0.8395138888888889;0.6;0.3449519230769231;0.4083333333333333;0.3604336043360434;"[[13  0  7  0]
 [ 1  0 19  0]
 [ 1  0 59  0]
 [ 1  0 19  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8009861111111112;0.6583333333333333;0.6477813852813853;0.5291666666666666;0.5388754480286738;"[[14  1  4  1]
 [ 2  7 10  1]
 [ 3  2 55  0]
 [ 1  1 15  3]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.9805538194444444;0.8770833333333333;0.9138594902293208;0.8218749999999999;0.8540538947629058;"[[ 76   0   4   0]
 [  3  59  18   0]
 [  0   1 237   2]
 [  2   4  25  49]]";0.8118333333333334;0.6083333333333333;0.5448051948051947;0.5041666666666667;0.5030287873264551;"[[15  1  4  0]
 [ 2  6 11  1]
 [ 3  5 49  3]
 [ 1  3 13  3]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.8082204861111111;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.7801666666666667;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7824444444444445;0.6666666666666666;0.7589231699939504;0.5416666666666666;0.5700102852812212;"[[14  0  6  0]
 [ 2  6 12  0]
 [ 2  3 55  0]
 [ 1  0 14  5]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.9886684027777777;0.9125;0.9371640627961554;0.8791666666666667;0.9028121171120695;"[[ 78   0   2   0]
 [  1  66  13   0]
 [  0   3 235   2]
 [  1   2  18  59]]";0.8114305555555555;0.6333333333333333;0.5791562238930661;0.5333333333333334;0.5386570523920249;"[[15  0  4  1]
 [ 1  7 10  2]
 [ 4  4 50  2]
 [ 1  3 12  4]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.8942777777777778;0.6083333333333333;0.35665226115141224;0.4145833333333333;0.36823066055909925;"[[ 53   0  27   0]
 [  6   0  74   0]
 [  1   0 239   0]
 [  2   0  78   0]]";0.8236805555555555;0.5916666666666667;0.35343665768194066;0.3958333333333333;0.3541814316087881;"[[12  0  8  0]
 [ 1  0 19  0]
 [ 1  0 59  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7759027777777778;0.6583333333333333;0.7399275805793554;0.5291666666666666;0.5424357351750889;"[[14  1  5  0]
 [ 1  7 12  0]
 [ 2  3 55  0]
 [ 2  1 14  3]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8258194444444444;0.6666666666666666;0.6189033189033188;0.5583333333333333;0.5697491153521566;"[[14  1  4  1]
 [ 2  9  6  3]
 [ 3  3 53  1]
 [ 1  1 14  4]]"
10;{'n_estimators': 172, 'max_depth': 9, 'min_samples_leaf': 152, 'criterion': 'gini'};RandomForest;0.792279513888889;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.7862222222222222;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
11;{'n_estimators': 122, 'max_depth': 11, 'min_child_weight': 15, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8203888888888888;0.6583333333333333;0.6742495309568481;0.5375;0.5512014511310286;"[[14  1  4  1]
 [ 1  7 12  0]
 [ 3  3 54  0]
 [ 2  2 12  4]]"
12;{'n_estimators': 52, 'max_depth': 4, 'min_data_in_leaf': 54, 'learning_rate': 0.604326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8339861111111112;0.6916666666666667;0.6662047302291205;0.5625;0.5840248740260778;"[[14  0  4  2]
 [ 2  7  9  2]
 [ 2  1 57  0]
 [ 0  3 12  5]]"
13;{'n_estimators': 83, 'max_depth': 9, 'min_samples_leaf': 5, 'criterion': 'entropy'};RandomForest;0.9996397569444444;0.9541666666666667;0.9744401168451802;0.93125;0.9498660394041005;"[[ 77   0   3   0]
 [  1  76   3   0]
 [  0   0 240   0]
 [  1   0  14  65]]";0.8223472222222222;0.625;0.6043729372937294;0.4458333333333333;0.4044077585267516;"[[15  0  5  0]
 [ 1  1 18  0]
 [ 1  0 59  0]
 [ 1  0 19  0]]"
14;{'n_estimators': 72, 'max_depth': 4, 'min_child_weight': 59, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8294305555555556;0.6666666666666666;0.6592555994729908;0.5666666666666667;0.5734756446485205;"[[15  1  3  1]
 [ 2  9  9  0]
 [ 5  2 52  1]
 [ 1  2 13  4]]"
