;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te;auc_dif
210;{'n_estimators': 52, 'max_depth': 13, 'min_data_in_leaf': 241, 'learning_rate': 0,7673877551020408};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,19%;73,84%;72,08%;71,20%;71,04%;"[[66  2  3  2]
 [ 9 37 10  4]
 [ 1  2 51  6]
 [ 2 11 10 21]]";9,81%
197;{'n_estimators': 122, 'max_depth': 13, 'learning_rate': 0,718469387755102};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,84%;74,26%;73,31%;71,01%;70,65%;"[[66  3  3  1]
 [ 7 40  9  4]
 [ 2  3 53  2]
 [ 5 11 11 17]]";9,16%
219;{'n_estimators': 153, 'max_depth': 17, 'min_data_in_leaf': 356, 'learning_rate': 0,718469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,81%;72,57%;70,30%;70,25%;70,10%;"[[66  3  3  1]
 [ 6 35 11  8]
 [ 2  3 48  7]
 [ 2 13  6 23]]";10,19%
170;{'n_estimators': 122, 'max_depth': 15, 'learning_rate': 0,522795918367347};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,71%;73,42%;72,11%;70,33%;69,88%;"[[66  3  3  1]
 [ 7 36 11  6]
 [ 2  1 54  3]
 [ 5  8 13 18]]";9,29%
155;{'n_estimators': 103, 'max_depth': 7, 'learning_rate': 0,37604081632653064};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,87%;73,42%;73,22%;70,25%;69,72%;"[[65  4  3  1]
 [ 8 36 11  5]
 [ 2  2 56  0]
 [ 4 10 13 17]]";9,13%
248;{'n_estimators': 137, 'max_depth': 2, 'learning_rate': 0,8};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,54%;73,84%;71,56%;70,30%;69,69%;"[[68  3  2  0]
 [ 8 38  8  6]
 [ 1  3 53  3]
 [ 2 14 12 16]]";9,46%
158;{'n_estimators': 141, 'max_depth': 8, 'learning_rate': 0,5064897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,53%;73,00%;72,54%;69,99%;69,65%;"[[65  4  3  1]
 [ 9 36 12  3]
 [ 1  2 54  3]
 [ 4 10 12 18]]";9,47%
107;{'n_estimators': 99, 'max_depth': 18, 'learning_rate': 0,7836938775510204};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,20%;72,57%;71,52%;69,57%;69,39%;"[[65  5  2  1]
 [ 6 38 12  4]
 [ 2  4 51  3]
 [ 3 13 10 18]]";9,80%
234;{'n_estimators': 168, 'max_depth': 8, 'min_data_in_leaf': 443, 'learning_rate': 0,3923469387755102};Lighgbm;100,00%;99,79%;99,81%;99,75%;99,78%;"[[289   0   0   0]
 [  1 239   0   0]
 [  0   0 240   0]
 [  0   1   0 174]]";90,18%;72,15%;70,05%;69,53%;69,38%;"[[66  2  4  1]
 [ 7 36 11  6]
 [ 3  1 48  8]
 [ 2 12  9 21]]";9,82%
123;{'n_estimators': 48, 'max_depth': 7, 'min_data_in_leaf': 106, 'learning_rate': 0,6532448979591837};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,07%;73,00%;71,97%;69,84%;69,37%;"[[65  4  4  0]
 [ 7 37 12  4]
 [ 1  1 54  4]
 [ 3 12 12 17]]";9,93%
