;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7560555555555555;0.6416666666666667;0.6082123758594347;0.5125;0.527725834844856;"[[14  1  4  1]
 [ 2  3 14  1]
 [ 1  2 54  3]
 [ 0  1 13  6]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.9162309027777777;0.58125;0.33819072872768596;0.371875;0.33000034658441063;"[[ 39   0  41   0]
 [  6   0  74   0]
 [  0   0 240   0]
 [  4   0  76   0]]";0.7506666666666666;0.6;0.35714285714285715;0.4083333333333333;0.36450216450216455;"[[13  0  7  0]
 [ 1  0 19  0]
 [ 1  0 59  0]
 [ 0  0 20  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7546666666666666;0.6416666666666667;0.5994152046783625;0.49583333333333335;0.49025641025641026;"[[16  0  4  0]
 [ 1  2 16  1]
 [ 0  3 56  1]
 [ 2  1 14  3]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.9913038194444445;0.8770833333333333;0.9319290245836638;0.8177083333333333;0.8582659565090112;"[[ 72   0   7   1]
 [  3  51  26   0]
 [  1   0 239   0]
 [  2   0  19  59]]";0.7755277777777778;0.6416666666666667;0.6543668954996186;0.49583333333333335;0.4905093000058675;"[[16  1  3  0]
 [ 1  2 17  0]
 [ 1  0 56  3]
 [ 1  0 16  3]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.7753272569444445;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.7035416666666667;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7188194444444445;0.5916666666666667;0.5418650793650793;0.4708333333333334;0.4803780284043442;"[[13  0  6  1]
 [ 3  2 15  0]
 [ 2  5 50  3]
 [ 0  1 13  6]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.996384548611111;0.9541666666666667;0.9697725023386976;0.9333333333333333;0.9493691541777853;"[[ 79   0   1   0]
 [  2  71   7   0]
 [  0   0 239   1]
 [  1   0  10  69]]";0.7563888888888888;0.6166666666666667;0.5388257575757576;0.475;0.47183382051803097;"[[15  1  3  1]
 [ 1  2 16  1]
 [ 1  2 54  3]
 [ 1  1 15  3]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.8464609375000001;0.5645833333333333;0.3448996400463669;0.346875;0.30817409367921816;"[[ 31   0  49   0]
 [  5   0  75   0]
 [  0   0 240   0]
 [  1   0  79   0]]";0.7486388888888889;0.575;0.34490740740740744;0.37083333333333335;0.3318452380952381;"[[10  0 10  0]
 [ 1  0 19  0]
 [ 1  0 59  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7054583333333334;0.575;0.47590439276485785;0.44583333333333336;0.4422855082912761;"[[13  0  6  1]
 [ 3  0 17  0]
 [ 2  5 50  3]
 [ 0  1 13  6]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7536805555555556;0.6333333333333333;0.6202850877192982;0.49166666666666664;0.488263430654735;"[[15  0  3  2]
 [ 2  2 15  1]
 [ 1  1 55  3]
 [ 1  0 15  4]]"
