;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.819125;0.6416666666666667;0.6097190090611143;0.5541666666666667;0.563221707751837;"[[17  0  3  0]
 [ 2  6 11  1]
 [ 2  2 49  7]
 [ 0  2 13  5]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.9071449652777778;0.60625;0.32746217395340205;0.42604166666666665;0.364763459986975;"[[ 59   0  21   0]
 [ 10   0  70   0]
 [  8   0 232   0]
 [  4   0  76   0]]";0.7434722222222222;0.6;0.31824294038547735;0.43333333333333335;0.3643904606724929;"[[16  0  4  0]
 [ 2  0 18  0]
 [ 4  0 56  0]
 [ 1  0 19  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8063611111111111;0.65;0.6041181041181041;0.55;0.552903271866371;"[[17  0  3  0]
 [ 3  6 10  1]
 [ 2  3 51  4]
 [ 0  2 14  4]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.9874270833333334;0.875;0.9156377496173516;0.8270833333333333;0.8578835140105401;"[[ 76   0   4   0]
 [  4  58  18   0]
 [  4   1 233   2]
 [  2   0  25  53]]";0.7828194444444444;0.6416666666666667;0.593996913580247;0.5208333333333334;0.5073266567947419;"[[17  0  2  1]
 [ 3  4 12  1]
 [ 3  1 53  3]
 [ 2  1 14  3]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.7613394097222221;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.7053055555555555;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7692222222222221;0.6083333333333333;0.5525111744623941;0.49583333333333335;0.4910536013012944;"[[16  0  4  0]
 [ 2  3 14  1]
 [ 3  3 50  4]
 [ 1  1 14  4]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.9934270833333333;0.9229166666666667;0.9420627630376608;0.8947916666666667;0.9134830664875582;"[[ 78   0   2   0]
 [  2  70   7   1]
 [  3   1 235   1]
 [  2   0  18  60]]";0.7853055555555555;0.6583333333333333;0.622471447928765;0.5375000000000001;0.5435140278170284;"[[16  0  3  1]
 [ 1  5 13  1]
 [ 3  0 54  3]
 [ 1  3 12  4]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.8478350694444444;0.6041666666666666;0.3256415922219767;0.42083333333333334;0.3609925529096636;"[[ 57   0  23   0]
 [ 10   0  70   0]
 [  7   0 233   0]
 [  5   0  75   0]]";0.736375;0.6;0.32999999999999996;0.425;0.365625;"[[15  0  5  0]
 [ 2  0 18  0]
 [ 3  0 57  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7797361111111112;0.6;0.5286931818181819;0.49166666666666664;0.4857142857142857;"[[16  1  3  0]
 [ 2  4 14  0]
 [ 3  3 49  5]
 [ 1  2 14  3]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8206249999999999;0.65;0.609104938271605;0.5416666666666667;0.54919601369528;"[[17  0  3  0]
 [ 1  5 13  1]
 [ 2  2 52  4]
 [ 0  3 13  4]]"
10;{'n_estimators': 172, 'max_depth': 9, 'min_samples_leaf': 152, 'criterion': 'gini'};RandomForest;0.7592256944444444;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.6750833333333335;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
11;{'n_estimators': 122, 'max_depth': 11, 'min_child_weight': 15, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8198194444444444;0.625;0.5830357142857143;0.5125000000000001;0.5145833333333333;"[[17  0  3  0]
 [ 1  3 15  1]
 [ 2  4 51  3]
 [ 0  1 15  4]]"
12;{'n_estimators': 52, 'max_depth': 4, 'min_data_in_leaf': 54, 'learning_rate': 0.604326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8014166666666667;0.6416666666666667;0.5920742232451093;0.5375;0.5443403341842655;"[[17  1  2  0]
 [ 2  6 10  2]
 [ 1  2 51  6]
 [ 0  1 16  3]]"
13;{'n_estimators': 83, 'max_depth': 9, 'min_samples_leaf': 5, 'criterion': 'entropy'};RandomForest;0.9988524305555555;0.9520833333333333;0.9654761904761905;0.9322916666666667;0.9465946478770526;"[[ 78   0   2   0]
 [  3  72   5   0]
 [  2   0 238   0]
 [  1   0  10  69]]";0.7540138888888889;0.6;0.33290816326530615;0.425;0.367879746835443;"[[15  0  4  1]
 [ 2  0 18  0]
 [ 2  0 57  1]
 [ 1  0 19  0]]"
14;{'n_estimators': 72, 'max_depth': 4, 'min_child_weight': 59, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.822125;0.6416666666666667;0.6186799719887955;0.5208333333333334;0.5205701993548925;"[[17  0  3  0]
 [ 2  4 13  1]
 [ 2  1 53  4]
 [ 0  1 16  3]]"
15;{'n_estimators': 200, 'max_depth': 10, 'min_data_in_leaf': 98, 'learning_rate': 0.522795918367347};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8262638888888889;0.6333333333333333;0.5653013653013652;0.525;0.5266787534635515;"[[16  1  2  1]
 [ 1  6 11  2]
 [ 3  2 51  4]
 [ 1  2 14  3]]"
