;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 110, 'max_depth': 5, 'min_data_in_leaf': 21, 'learning_rate': 0.6457142857142857};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7971805555555556;0.65;0.5873188405797102;0.5416666666666666;0.5341791728720358;"[[18  0  2  0]
 [ 1  6 12  1]
 [ 2  1 52  5]
 [ 2  2 14  2]]"
1;{'n_estimators': 159, 'max_depth': 6, 'min_data_in_leaf': 34, 'learning_rate': 0.38204081632653064};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8152361111111112;0.6583333333333333;0.6469187675070027;0.5375;0.5416721178706041;"[[17  1  2  0]
 [ 3  5 12  0]
 [ 1  1 54  4]
 [ 0  0 17  3]]"
2;{'n_estimators': 122, 'max_depth': 5, 'min_data_in_leaf': 63, 'learning_rate': 0.6457142857142857};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7974722222222222;0.65;0.6014285714285714;0.5666666666666667;0.5711514958286839;"[[17  0  2  1]
 [ 1  9  9  1]
 [ 2  4 49  5]
 [ 1  1 15  3]]"
3;{'n_estimators': 99, 'max_depth': 5, 'min_data_in_leaf': 57, 'learning_rate': 0.4906122448979592};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7986388888888889;0.625;0.5771352741461437;0.5291666666666667;0.5245113685253611;"[[18  0  2  0]
 [ 2  5 12  1]
 [ 2  2 49  7]
 [ 1  1 15  3]]"
4;{'n_estimators': 131, 'max_depth': 5, 'min_data_in_leaf': 25, 'learning_rate': 0.45959183673469384};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8222777777777777;0.6916666666666667;0.7028659611992945;0.5958333333333334;0.6122173622952034;"[[18  0  2  0]
 [ 2  8 10  0]
 [ 1  2 53  4]
 [ 0  0 16  4]]"
5;{'n_estimators': 153, 'max_depth': 9, 'min_data_in_leaf': 58, 'learning_rate': 0.3355102040816327};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8125972222222222;0.6583333333333333;0.6183664858348402;0.5541666666666666;0.5460541911298548;"[[18  0  2  0]
 [ 3  6 10  1]
 [ 2  3 52  3]
 [ 2  0 15  3]]"
6;{'n_estimators': 101, 'max_depth': 6, 'min_data_in_leaf': 61, 'learning_rate': 0.6379591836734694};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7785;0.6666666666666666;0.6431159420289855;0.5666666666666667;0.5728618249015027;"[[17  0  3  0]
 [ 2  6 10  2]
 [ 2  3 52  3]
 [ 2  0 13  5]]"
7;{'n_estimators': 99, 'max_depth': 8, 'min_data_in_leaf': 34, 'learning_rate': 0.5991836734693877};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8150972222222223;0.6416666666666667;0.6179503367003367;0.5375000000000001;0.5414832477378333;"[[17  1  2  0]
 [ 2  5 13  0]
 [ 2  2 51  5]
 [ 1  0 15  4]]"
8;{'n_estimators': 104, 'max_depth': 7, 'min_data_in_leaf': 20, 'learning_rate': 0.6612244897959183};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7907638888888888;0.6916666666666667;0.6647064448269266;0.5708333333333333;0.5755973615519452;"[[18  0  2  0]
 [ 1  5 12  2]
 [ 0  3 56  1]
 [ 2  1 13  4]]"
9;{'n_estimators': 146, 'max_depth': 10, 'min_data_in_leaf': 47, 'learning_rate': 0.5526530612244898};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.80125;0.675;0.638975279106858;0.5875;0.593452380952381;"[[18  0  2  0]
 [ 2  8  8  2]
 [ 2  3 51  4]
 [ 0  1 15  4]]"
